,emp,slot,activity_type
0,3,106,0
1,3,116,0
2,2,30,0
3,4,74,0
4,3,114,0
5,1,114,8
6,4,135,0
7,4,2,0
8,4,134,0
9,1,134,0
10,1,56,2
11,1,100,2
12,2,70,2
13,1,56,2
14,1,62,2
15,1,60,2
16,1,96,2
17,1,96,2
18,1,96,2
19,1,115,0
20,2,115,0
21,2,13,0
22,4,13,0
23,2,42,0
24,1,42,2
25,2,82,2
26,2,82,0
27,2,83,0
28,4,102,0
29,3,134,0
30,3,112,0
31,1,112,0
32,1,22,0
33,1,22,0
34,1,143,0
35,1,31,0
36,3,31,0
37,3,75,0
38,3,14,0
39,4,14,0
40,4,14,0
41,4,19,0
42,1,19,0
43,3,137,0
44,2,137,0
45,3,137,0
46,3,142,0
47,4,142,0
48,1,142,0
49,2,142,0
50,4,78,0
51,4,95,0
52,4,95,0
53,1,133,0
54,4,76,0
55,1,34,0
56,4,19,0
57,4,33,0
58,3,141,0
59,3,13,0
60,1,115,0
61,3,115,0
62,4,32,0
63,4,117,0
64,4,58,0
65,4,58,8
66,4,139,0
67,4,11,0
68,2,51,0
69,4,143,0
70,4,84,0
71,4,58,0
72,4,43,0
73,2,43,0
74,2,87,2
75,2,87,0
76,2,82,8
77,4,82,0
78,4,26,0
79,4,39,0
80,4,100,0
81,1,100,0
82,1,23,2
83,3,23,0
84,2,37,0
85,3,27,0
86,1,15,0
87,1,15,0
88,3,133,0
89,1,78,0
90,3,78,8
91,4,78,0
92,4,111,8
93,4,61,0
94,4,123,0
95,4,36,0
96,2,73,0
97,1,104,4
98,1,63,4
99,1,95,0
100,1,5,0
101,1,25,0
102,4,144,0
103,3,144,0
104,4,144,8
105,4,22,0
106,1,22,0
107,1,22,0
108,1,22,0
109,1,81,0
110,4,86,0
111,4,59,0
112,4,142,0
113,1,1,0
114,1,1,0
115,3,24,0
116,4,39,0
117,4,111,0
118,4,6,0
119,2,42,0
120,2,100,2
121,1,107,0
122,4,107,0
123,3,20,0
124,1,18,0
125,1,129,0
126,1,7,0
127,4,7,0
128,3,36,0
129,3,36,0
130,3,36,0
131,3,91,8
132,3,91,0
133,4,117,0
134,1,9,0
135,3,144,0
136,4,70,0
137,4,107,8
138,1,107,8
139,2,113,8
140,4,89,8
141,3,51,8
142,3,8,0
143,1,8,0
144,1,35,0
145,2,134,0
146,4,134,0
147,4,134,0
148,3,134,0
149,2,134,0
150,2,124,0
151,2,128,0
152,4,128,0
153,4,128,0
154,4,48,0
155,3,133,0
156,3,133,8
157,3,15,0
158,4,15,0
159,4,130,0
160,4,68,0
161,1,68,0
162,2,68,0
163,2,138,0
164,3,40,0
165,2,91,0
166,1,32,0
167,4,95,9
168,3,95,8
169,3,83,2
170,2,56,2
171,1,66,2
172,4,60,8
173,4,116,8
174,4,80,0
175,3,94,0
176,4,131,0
177,4,8,0
178,1,127,0
179,4,107,0
180,4,8,0
181,1,8,0
182,1,8,0
183,2,8,0
184,2,23,0
185,1,133,0
186,3,44,0
187,1,44,2
188,1,44,2
189,1,82,2
190,1,82,2
191,1,130,2
192,2,130,2
193,1,138,2
194,2,70,2
195,2,77,2
196,1,40,2
197,1,40,2
198,1,80,2
199,1,80,2
200,2,11,0
201,1,30,0
202,1,70,0
203,2,27,0
204,2,84,2
205,1,84,6
206,1,50,2
207,1,35,2
208,2,99,2
209,2,89,0
210,2,89,0
211,4,37,0
212,4,26,0
213,4,98,0
214,4,126,0
215,4,25,0
216,1,112,0
217,2,112,0
218,4,54,0
219,1,8,0
220,3,8,0
221,3,127,0
222,1,39,0
223,1,123,0
224,1,96,0
225,1,53,2
226,1,53,0
227,1,53,0
228,1,53,2
229,1,65,2
230,1,110,0
231,2,110,0
232,2,16,0
233,2,136,0
234,1,39,0
235,4,39,0
236,4,139,0
237,4,139,0
238,2,139,0
239,2,139,0
240,4,142,0
241,4,52,0
242,4,12,0
243,3,139,0
244,3,140,0
245,1,140,0
246,1,3,0
247,1,32,0
248,2,45,0
249,2,85,0
250,2,85,0
251,4,85,0
252,4,85,8
253,1,115,8
254,3,96,2
255,1,96,8
256,1,96,2
257,1,98,2
258,1,51,2
259,1,51,2
260,1,51,2
261,1,97,2
262,2,97,0
263,4,97,0
264,1,97,6
265,1,84,6
266,2,61,6
267,3,61,5
268,2,94,0
269,3,94,0
270,4,97,0
271,4,125,8
272,4,95,0
273,4,86,8
274,4,144,0
275,1,144,0
276,1,144,0
277,3,144,0
278,3,89,0
279,4,89,8
280,4,53,0
281,4,53,8
282,4,87,8
283,4,79,8
284,4,79,0
285,4,73,0
286,4,40,0
287,2,135,0
288,1,115,0
289,4,115,0
290,3,28,0
291,3,109,8
292,3,74,8
293,4,100,8
294,4,91,8
295,4,60,8
296,2,60,0
297,1,60,2
298,2,60,2
299,1,96,2
300,1,71,2
301,1,98,2
302,1,42,0
303,2,48,0
304,3,71,0
305,3,53,3
306,3,55,3
307,3,50,3
308,3,50,3
309,3,68,3
310,3,100,2
311,1,100,0
312,1,115,0
313,1,115,0
314,4,98,0
315,4,52,8
316,3,127,0
317,3,38,0
318,4,38,0
319,4,38,0
320,4,135,0
321,4,127,0
322,2,127,0
323,1,127,0
324,4,141,0
325,4,45,0
326,1,30,0
327,4,30,0
328,2,30,0
329,1,44,0
330,3,44,0
331,3,66,3
332,3,52,3
333,3,51,3
334,3,47,3
335,3,47,3
336,3,88,0
337,3,53,3
338,3,53,3
339,3,92,3
340,3,95,3
341,1,71,8
342,1,75,2
343,1,77,2
344,1,86,2
345,1,105,2
346,1,48,2
347,1,48,2
348,1,77,6
349,1,83,2
350,2,53,2
351,4,68,4
352,4,70,0
353,4,59,0
354,4,59,0
355,1,20,0
356,2,20,0
357,2,138,0
358,3,144,0
359,2,38,0
360,4,94,0
361,3,19,0
362,3,130,0
363,3,130,0
364,4,140,0
